team_name,team_match_np_xg,team_match_np_shots,team_match_xa,team_match_deep_completions,team_match_obv_shot,team_match_obv_pass,team_match_ball_recoveries,team_match_obv_defensive_action,team_match_np_psxg,team_match_obv_gk,goals,Goal Envolvement Index,Goal Conversion Index,Possession GoalChance Index,Goal Performance Index,match_week,corner Efficiency,freekick Efficiency,directfk Efficiency,throw in Efficiency,SetPiece Eficcacy Index,GoalSetPiece Performance Index
Audax Italiano,1.2776538739066665,13.066666666666666,0.9016216531333333,3.1333333333333333,-0.00218760634,0.84711960108,94.86666666666666,0.34806262569466667,1.21629576322,0.037204050666666655,1.8666666666666667,2.1792755270399997,1.8725048708299104,0.926279336127299,3.2865165987089204,15.0,4.982879719051798,4.83231474407945,4.048915268112975,6.664958384710236,5.132267028988615,4.209391813848768
Cobresal,0.8261299177533333,13.666666666666666,0.6644197298133333,1.9333333333333333,-0.09665606790666666,0.6930189471224,85.46666666666667,0.3419246791346667,0.9219329418933333,0.31463297133333334,1.2,1.4905496475666666,1.6919734378925855,0.6034844466377329,2.375340081380828,15.0,2.0049570389953733,0.9905209732795942,5.738547749446882,9.5,4.558506440430462,3.466923260905645
Colo Colo,1.3344359605846152,16.46153846153846,1.122257335253846,4.3076923076923075,-0.20363270477692305,0.8998163271669231,94.61538461538461,0.04363390276115384,1.3468035552,-0.022057056999999995,1.7692307692307692,2.4566932958384617,2.5141197205286896,0.7827269823106875,3.3372124202762876,15.0,3.374999999999999,0.5,4.39525106862699,3.520202978279428,2.9476135117266047,3.142412966001446
Coquimbo Unido,1.1988736606666668,12.333333333333334,0.8852039922266667,2.8666666666666667,0.1261288264466667,0.931975852182,101.4,0.3746403644846667,1.1941546461133332,0.05206798397333334,1.2666666666666666,2.0840776528933334,1.4011006967231598,0.8861025658374405,3.078188983248226,15.0,6.567736185383245,5.777056277056277,9.5,4.886354295108919,6.68278668938711,4.880487836317668
Deportes Iquique,1.0427512005333333,11.666666666666666,0.8484703748,4.466666666666667,-0.21127692349333332,0.8784486060406667,89.53333333333333,0.1434631813166667,0.9391702380666666,-0.3972372886666667,0.9333333333333333,1.8912215753333332,1.1214580151779656,0.7108905890153223,2.6437993390414873,15.0,9.5,6.832467532467534,2.242044940431308,4.243331819066779,5.704461072991404,4.174130206016446
Deportes Limache,1.2413740805333333,13.266666666666667,0.7740990461666667,3.3333333333333335,-0.11975341190000001,0.9852396077866667,93.66666666666667,0.4068877820235333,1.2184922283466666,-0.21425881326666665,1.0666666666666667,2.0154731267,0.9430877516558039,0.8671974480561826,2.9201796439685825,15.0,0.7500000000000002,1.575487012987013,0.5,8.054416250243364,2.719975815807594,2.820077729888088
Deportivo Ñublense SADP,0.9756974029666666,13.066666666666666,0.76628113786,6.266666666666667,-0.2976634996466666,0.9706549512479999,102.66666666666667,0.08873391587333332,0.7563059834466668,-0.12279139486666667,0.9333333333333333,1.7419785408266668,0.969414820840941,0.6465238952905196,2.432525311327365,15.0,2.2236099919419816,2.0380792047458707,4.219290137720677,6.440713833438866,3.7304232919618485,3.0814743016446067
Everton,0.9373162826599999,13.8,0.6470079933133334,3.466666666666667,-0.21215793999333332,0.7831368446906667,95.73333333333333,0.41311961521333335,0.78319940804,-0.20280266833333332,0.9333333333333333,1.5843242759733334,1.007872637433537,0.6653398323401394,2.3857025554546425,15.0,3.323529411764705,1.5603720603720606,5.585386819484241,3.996843771279239,3.6165330157250617,3.001117785589852
Huachipato,0.9505730959133333,10.533333333333333,0.7209273936333334,3.6666666666666665,0.09007554407333336,0.8581941836066667,100.2,0.21772342080066667,1.18835363018,0.08904119246666665,1.3333333333333333,1.6715004895466667,1.0503279059661763,0.6359641146390353,2.394515755962978,15.0,2.2166350411132196,1.9749536178107607,6.449652067130577,8.377047736480534,4.754572115633773,3.574543935798376
La Serena,0.8052071891133333,13.0,0.5487823087266667,1.8,-0.08825780401333332,0.46124474146666666,89.06666666666666,0.06129871305640001,0.9325625069733333,-0.09828867820000002,1.2666666666666666,1.35398949784,1.8100854715751886,0.5202357533478653,2.1952167158589293,15.0,4.295751633986928,0.6147186147186143,3.7979291482156805,6.878857868487405,3.896814316352157,3.046015516105543
O'Higgins,1.0689884377866667,15.0,0.7980905920533333,3.6666666666666665,-0.5968769967933334,0.9547235456593334,107.26666666666667,0.42248074518333334,0.7918146350466666,0.00017619479999999207,1.0,1.86707902984,1.2942484097256446,0.6727720112322991,2.6055641746285128,15.0,6.9264705882352935,3.6539057956968404,3.723892439938286,3.592658867402485,4.474231922818226,3.5398980487233693
Palestino,1.1898089911999998,12.8,0.7849447352333333,3.2666666666666666,0.13111045498,0.9394682426666667,99.73333333333333,0.31143711856933337,1.5136077971333333,0.06853381666666665,1.4666666666666666,1.9747537264333332,1.181240662185645,0.7916591555687796,2.8273409252938158,15.0,1.3639262934089302,9.459153749476329,5.120013224597753,2.149919244195134,4.523253127919537,3.6752970266066765
Universidad Católica,0.9934737222857143,12.571428571428571,0.6719689533285714,2.642857142857143,-0.06694561066428571,0.6168550580057143,84.57142857142857,-0.03921315800642857,1.1430586392142856,0.16057136242857142,1.4285714285714286,1.6654426756142855,1.4334759839042164,0.5869155128967434,2.3908482100817103,15.0,0.5,4.531539888682746,6.26706081762783,5.84509194231491,4.285923162156371,3.338385686119041
Universidad de Chile,1.7176101763846154,18.153846153846153,1.2022812437692307,3.6923076923076925,-0.32221813418461537,1.1032256291615385,98.61538461538461,0.2211307652892615,1.7418967022076923,-0.099844291,2.230769230769231,2.919891420153846,1.1278293198269025,1.0451588960347051,3.7195182431658935,15.0,5.966613672496025,9.5,1.2919401053701818,3.520202978279428,5.069689189036408,4.394603716101151
Unión Española,0.9943041382142858,12.928571428571429,0.7333602491071429,2.9285714285714284,0.01941216072857141,0.6905793988407144,96.57142857142857,0.37532704354928575,1.0486940228571429,-0.20348728842857142,0.7857142857142857,1.7276643873214286,0.5935972144390683,0.718223462489315,2.462410753835662,15.0,4.859477124183005,3.135509227614491,6.719734957020058,2.149919244195134,4.216160138253173,3.3392854460444177
Unión La Calera,0.8176702693666668,11.4,0.6421533935733332,2.066666666666667,-0.050293863700000004,0.6046657405806666,103.2,0.32918810096266665,0.8854046489333334,0.08563309919333335,0.9333333333333333,1.4598236629399999,1.113544015686255,0.5468187262432078,2.1540561952741752,15.0,5.701825557809331,3.1272178525699648,6.449652067130577,0.5,3.944673869377468,3.049365032325822
TopValues (min),0.8052071891133333,10.533333333333333,0.5487823087266667,1.8,-0.5968769967933334,0.46124474146666666,84.57142857142857,-0.03921315800642857,0.7563059834466668,-0.3972372886666667,0.7857142857142857,1.35398949784,0.5935972144390683,0.5202357533478653,2.1540561952741752,15.0,0.5,0.5,0.5,0.5,2.719975815807594,2.820077729888088
TopValues (max),1.7176101763846154,18.153846153846153,1.2022812437692307,6.266666666666667,0.13111045498,1.1032256291615385,107.26666666666667,0.42248074518333334,1.7418967022076923,0.31463297133333334,2.230769230769231,2.919891420153846,2.5141197205286896,1.0451588960347051,3.7195182431658935,15.0,9.5,9.5,9.5,9.5,6.68278668938711,4.880487836317668
